地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>南極(Antarctica)</TITLE>,,,,,,
あすか観測拠点,Asuka,-71.3,23,小都市,2,
ケーシー基地,Casey,-67.1,112,小都市,2,
デーヴィス基地,Davis,-68,79.3,小都市,2,
エイツ基地,Eights,-74,-75,小都市,2,
ヘネラルベルグラーノ基地,General Belgrano,-78,-38,小都市,2,
ハリーベイ基地,Hally Bay,-76,-30,小都市,2,
モーソン基地,Mawson,-67.49,62,小都市,2,
ミールヌイ基地,Mirny,-67.1,93,小都市,2,
パーマー基地,Palmer,-65,-63,小都市,2,
サナエ基地,Sanae,-71,-3,小都市,2,
スコット基地,Scott,-78,168,小都市,2,
昭和基地,Showa,-69,40,小都市,2,
南極点,South Pole,-90,0,小都市,1,
ボストーク基地,Vostok,-78.3,94,小都市,2,
