地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>アルゼンチン(Argentina)</TITLE>,,,,,,
ブエノスアイレス,Buenos Aires,-34.39,-58.283,巨大都市,1,
コルトバ,Cordoba,-31.25,-64.11,大都市,3,
ロサリオ,Rosario,-33.00302,-60.41301,大都市,3,
ラプラタ,La Plata,-34.52001,-57.553,大都市,5,
サンファン,San Juan,-31.32298,-68.313,都市,4,
サルタ,Salta,-24.45302,-65.253,都市,3,
バイアブランカ,Bahia Blanca,-38.433,-62.15302,都市,4,
レシステンシア,Resistencia,-27.253,-59,都市,4,
コリエンテス,Corrientes,-27.28001,-58.48,都市,4,
パラナ,Parana,-31.45299,-60.30598,都市,4,
ポサダス,Posadas,-27.24299,-55.54,都市,4,
メンドサ,Mendoza,-32.493,-68.51,都市,4,
マールデルプラタ,Mar Del plata,-38,-57.3,小都市,3,
ウスワイア,Ushuaia,-55.1,-68.3,都市,3,
ネウケン,Neuquen,-40.46152,-64.34012,都市,4,
コモドロ・リバダビア,Comodoro Rivadavia,-45.47355,-67.35398,都市,4,
