地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>オーストラリア(Australia)</TITLE>,,,,,,
シドニー,Sydney,-33.5260,151.1000,巨大都市,1,
メルボルン,Melbourne,-37.4660,144.5800,巨大都市,2,
ブリスベーン,Brisbane,-27.3000,153.0130,巨大都市,2,
パース,Perth,-31.5800,115.5030,巨大都市,2,
アデレード,Adelaide,-34.5560,138.3600,巨大都市,2,
ニューカスル,Newcastle,-32.5234,151.4549,都市,3,
キャンベラ,Canberra,-35.1660,149.0730,都市,2,
ウランゴング,Wollongong,-34.2349,150.5302,都市,5,
ダービー,Derby,-17.0700,123.4600,都市,4,
ゴールドコースト,Gold Coast,-27.5930,153.2030,都市,4,
ホバート,Hobart,-42.5330,147.1730,都市,3,
ジロング,Geelong,-38.0730,144.2100,都市,5,
タウンズビル,Townsville,-19.1830,146.4600,都市,3,
ダーウィン,Darwin,-12.2800,130.5000,小都市,2,
アルバニー,Albany,-35.0000,118.0000,都市,3,
アリススプリングス,Alice Springs,-23.4500,133.5000,都市,2,
エアーズロック,Ayers Rock,-25.2100,131.0200,自然地名,3,
オルグ,The Olgas,-25.1800,130.1400,自然地名,4,
バララット,Ballarat,-37.4000,143.4000,都市,4,
バーダム,Birdum,-16.0000,133.0000,都市,3,
ブルーム,Broome,-17.4000,122.3000,都市,2,
ケアンズ,Cairns,-16.5410,145.4212,都市,2,
クックタウン,CookTown,-15.2725,145.0958,小都市,3,
カーナーヴォン,Carnavon,-25.0000,114.0000,都市,3,
クック,Cook,-30.3000,130.0000,都市,3,
ダンピア,Danpia,-21.3000,116.1000,都市,3,
エスペランス,Esperance,-33.3000,122.0000,都市,3,
ユークラ,Eucla,-31.3000,129.0000,都市,4,
エア,Eyre,-32.1000,126.0000,都市,3,
フォレスト,Forrest,-30.4000,128.0000,都市,3,
ジェラルトン,Geraldton,-29.1000,115.0000,都市,3,
カルグーリ,Kalgoorlie,-30.4000,121.3000,都市,3,
レオノーラ,Leonore,-29.0000,121.0000,都市,3,
マウントアイザ,Mount Isa,-20.3000,139.3000,都市,3,
マウントニューマン,Mount Newman,-23.1000,120.0000,都市,3,
ノーマントン,Normanton,-18.0000,141.0000,都市,3,
ピノング,Penong,-31.4000,132.3000,都市,3,
ポートオーガスタ,Port Augusta,-32.3101,137.5127,都市,3,
ポートヘッドランド,Port Hedland,-20.3000,119.0000,都市,3,
ポートピリー,Port Pirle,-33.1234,137.5947,都市,3,
サマセット,Someset,-10.4747,142.2741,都市,3,
ヤンピ　サウンド,Yampi Sound,-16.2700,123.5000,都市,3,
