地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>バングラデシュ(Bangladesh)</TITLE>,,,,,,
チッタゴン,Chittagong,22.2,91.48,大都市,3,
クルナ,Khulna,22.48302,89.32301,大都市,4,
ナーラーヤンガンジ,Narayanganj,23.36302,90.283,都市,5,
ミーメンシング,Mymensingh,24.44298,90.23002,都市,5,
クミッラ,Comilla,23.26301,91.11301,都市,5,
バリサール,Barisal,22.41,90.22,都市,5,
ダッカ,Dhaka,23.44002,90.23002,巨大都市,2,
サイドプル,Saidpur,25.48428,88.28502,都市,4,
ランプル,Rangpur,25.47236,88.59546,都市,5,
シルヘット,Sylhet,24.52062,92.00295,都市,4,
パブナ,Pabna,24.0318,89.58192,都市,5,
ラジシャヒ,Rajshahi,24.25552,88.56056,都市,5,
