地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ブラジル(Brazil)</TITLE>,,,,,,
サンパウロ,Sao Paulo,-23.32298,-46.38002,巨大都市,2,
ベロオリゾンテ,Belo Horizonte,-19.553,-43.54299,巨大都市,3,
フォルタレザ,Fortaleza,-3.45598,-38.33598,巨大都市,3,
クリティバ,Curitiba,-25.24,-49.21,巨大都市,3,
レシフェ,Recife,-8.06302,-34.53298,巨大都市,3,
ポルトアレグレ,Porto Alegre,-30.03598,-51.08301,巨大都市,2,
ベレン,Belem,-1.26002,-48.27,巨大都市,2,
マナウス,Manaus,-3.05298,-60.00302,巨大都市,2,
ゴイアニア,Goiania,-16.403,-49.17002,大都市,3,
カンピナス,Campinas,-22.54,-47.043,大都市,4,
サン・ルイス,Sao Luis,-2.33302,-44.163,大都市,4,
ナタール,Natal,-5.47298,-35.133,大都市,3,
マセイオ,Maceio,-9.38301,-35.43001,都市,4,
テレジナ,Teresina,-5.06299,-42.47002,都市,4,
サントス,Santos,-23.57302,-46.18,都市,4,
ジョアン・ペソア,Joao Pessoa,-7.09,-34.523,都市,4,
カンポグランデ,Campo Grande,-20.27,-54.37001,都市,4,
カンポス,Campos,-21.45,-41.18598,都市,4,
アラカジュ,Aracaju,-10.54302,-37.05301,都市,4,
ロンドリナ,Londrina,-23.18,-51.103,都市,4,
ソロカバ,Sorocaba,-23.283,-47.29298,都市,4,
ウベルランディア,Uberlandia,-18.56298,-48.15598,都市,4,
カンピナグランデ,Campina Grande,-7.15,-35.51598,都市,4,
ジョインビル,Joinville,-26.18,-48.53298,都市,4,
ペロタス,Pelotas,-31.46001,-52.21299,都市,4,
ウベラバ,Uberaba,-19.45598,-47.553,都市,4,
バウル,Bauru,-22.19001,-49.06302,都市,4,
ピラシカバ,Piracicaba,-22.44002,-47.37599,都市,4,
ボルタ・レドンダ,Volta Redonda,-22.32298,-44.08002,都市,4,
ゴベルナドル・バラダレス,Governador Valadares,-18.51,-41.553,都市,4,
ポンタ・グロッサ,Ponta Grossa,-25.05298,-50.09,都市,4,
クイアバ,Cuiaba,-15.33598,-56.06299,都市,3,
アナポリス,Anapolis,-16.18299,-48.57,都市,4,
マリンガ,Maringa,-23.25001,-51.58001,都市,4,
フロリアノポリス,Florianopolis,-27.34599,-48.32301,都市,4,
モンテス・クラロス,Montes Claros,-16.433,-43.51302,都市,4,
サンタ・マリア,Santa Maria,-29.40599,-53.48,都市,4,
サルヴァドル,Salvador,-12.57302,-38.283,都市,2,
リオデジャネイロ,Rio De janeiro,-22.53,-43.17,巨大都市,1,
ブラジリア,Brasilia,-15.47298,-47.53002,巨大都市,2,
