地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ブルガリア(Bulgaria)</TITLE>,,,,,,
プロブジフ,Plovdiv,42.1,24.45302,都市,5,
バルナ,Varna,43.13,27.56298,都市,5,
ブルガス,Burgas,42.31,27.29,都市,5,
スタラザゴラ,Stara Zagora,42.26002,25.37001,都市,5,
プレベン,Pleven,43.253,24.39302,都市,5,
トルブヒン,Tolbukhin,43.35002,27.51,都市,5,
スリベン,Sliven,42.403,26.20301,都市,5,
シュメン,Shumen,43.17298,26.56301,都市,5,
ペルニク,Pernik,42.38002,23.03,小都市,5,
ハスコボ,Khaskovo,41.58,25.33,小都市,5,
ガブロボ,Gabrovo,42.53301,25.193,小都市,5,
パザルジク,Pazardzhik,42.12302,24.21,小都市,5,
ソフィア,Sofiya,42.42,23.18302,大都市,4,
