地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>カナダ(Canada)</TITLE>,,,,,,
カルガリー,Calgary,51.03,-114.123,大都市,2,
ウィニペグ,Winnipeg,49.56298,-97.11002,大都市,2,
エドモントン,Edmonton,53.35301,-113.3,大都市,2,
ロンドン,London,42.59,-81.14,都市,4,
ウィンザー,Windsor,42.15,-83,都市,4,
サスカトゥーン,Saskatoon,52.06302,-106.426,都市,4,
レジャイナ,Regina,50.27302,-104.363,都市,4,
ケベック,Quebec,46.51,-71.18302,都市,3,
ハリファックス,Halifax,44.38298,-63.42302,都市,4,
サンダーベイ,Thunder Bay,48.23,-89.17298,都市,4,
サドベリー,Sudbury,46.253,-81.02298,小都市,4,
シャーブルック,Sherbrooke,45.22001,-71.54302,小都市,4,
ヴィクトリア,Victoria,48.25,-123.22,小都市,3,
トロア・リビエール,Trois Rivieres,46.20002,-72.373,小都市,4,
ハミルトン,Hamilton,43.15,-79.5,小都市,4,
モントリオール,Montreal,45.31,-73.35298,巨大都市,1,
チャーチル,Churchill,59,-93,小都市,3,
コッパーマイン,Coppermine,67.3,-117,小都市,3,
フォートチモー,Fort Chimo,58,-68,小都市,3,
ヘイリヴァー,Hay River,60.3,-117,小都市,3,
レゾリュート,Resolute,75,-95,小都市,3,
サグルーク,Saglouc,62,-76,小都市,3,
オタワ,Ottawa,45.21,-75.463,大都市,3,
トロント,Toronto,43.42,-79.26301,大都市,3,
バンクーバー,Vancouver,49.133,-123.023,大都市,1,
バンフ,Banff,51,-115.3,小都市,3,
ジャスパー,Jasper,53,-118,小都市,3,
セントジョーンズ,St.john's,47.34,-52.43,都市,3,
イエローナイフ,Yellowknife,,,,,
