地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>チリ(Chile)</TITLE>,,,,,,
バルパライソ,Valparaiso,-33.05298,-71.38002,都市,4,
コンセプシオン,Concepcion,-36.49599,-73.03302,都市,3,
タルカワノ,Talcahuano,-36.403,-73.09302,都市,4,
テムコ,Temuco,-38.45,-72.39,都市,4,
アントファガスタ,Antofagasta,-23.39302,-70.21299,都市,4,
ランカグア,Rancagua,-34.10001,-70.45,都市,4,
アリカ,Arica,-18.29298,-70.193,都市,4,
タルカ,Talca,-35.26002,-71.39302,都市,4,
チヤン,Chillan,-36.37001,-72.10001,都市,4,
サンティアゴ,Santiago,-33.27302,-70.403,都市,1,
オソルノ,Osorno,-40.35301,-73.09598,都市,4,
バルディビア,Valdivia,-39.47298,-73.14298,都市,4,
プンタアレナス,Punta Arenas,-53.09,-70.55,都市,3,
