地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>中国(China)</TITLE>,,,,,,
福建省,フーチェン,27.1000,118.0000,州,4,00000
福州,Fuzhou,26.05298,119.183,大都市,3,
厦門,Xiamen,24.2700,118.0500,大都市,2,
泉州,Quangzhou,24.5500,118.3600,大都市,2,
章州,Zhangzhou,24.3100,117.4000,都市,3,
南平,Nanpin,26.3800,118.1000,都市,3,
三明,Sanmin,26.1300,117.3600,都市,3,
龍岩,Ronyen,25.0700,117.0100,小都市,3,
浙江省,チョーチァン,29.4000,119.4000,州,4,00000
杭州,Hangzhou,30.15302,120.073,巨大都市,3,
湖州,Fuzhou,30.5200,120.0600,巨大都市,1,
寧波,Ningbo,29.53301,121.32,大都市,5,
金華,Jinpha,29.1200,119.5900,都市,3,
シャオシン,Shaoxing,30,120.3,都市,4,
嘉興,Jiaxing,30.46001,120.443,都市,5,
温州,Wenzhou,27.59301,120.373,都市,5,
安吉,Anji,30.3800,119.4100,小都市,3,
衢州,Chouzhou,28.5700,118.5300,小都市,3,
台州,Thaizhou,28.4100,121.2700,小都市,3,
上海市,シャンハィ,31.1500,121.3000,州,4,00000
上海,Shanghai,31.06,121.22,巨大都市,2,
江蘇省,チャンスー,33.1500,119.4500,州,4,00000
南京,Nanking,32.03,118.47,巨大都市,2,
揚州,Yangzhou,32.24302,119.273,都市,5,
鎮江,Zhenjiang,32.12,119.26,都市,5,
常州,Changzhou,31.48,119.56,都市,5,
南通,Nantong,32.02,120.54,都市,5,
無錫,Wuxi,31.35,120.163,大都市,5,
蘇州,Suzhou,31.18302,120.363,大都市,5,
連雲港,Lianyungang,34.4,119.123,都市,5,
徐州,Xuzhou,34.15302,117.1,大都市,5,
山東省,シャントン,35.4700,118.2300,州,4,00000
済南,Jinan,36.4,116.57,巨大都市,3,
青島,Qingdao,36.06302,120.153,巨大都市,3,
煙台,Yantai,37.32298,121.193,都市,5,
ツーポー,Zibo,36.49,118.01,大都市,4,
ウェイファン,Weifang,36.42302,119.05,都市,5,
ツァオチョワン,Zaozhuang,34.53298,117.35,都市,3,
済寧,Jining,35.253,116.36,都市,5,
天津市,テンチン,39.2600,117.2200,州,4,00000
天津,Tianjin,39.08,117.12,巨大都市,3,
北京市,ペキン,40.1800,116.3100,州,4,00000
北京,Beijing,39.55,116.26,巨大都市,1,
河北省,ホーペイ,41.2300,116.4100,州,4,00000
唐山,Tangshan,39.37,118.103,大都市,5,
張家口,Zhangjiakou,40.51,114.5,大都市,5,
邯台,Handan,36.38002,114.26,大都市,5,
石家荘,Shijiazhuang,38.02002,114.283,大都市,5,
承徳,Chengde,41.01001,117.5,都市,5,
保定,Baoding,38.51302,115.28,都市,5,
遼寧省,リャオニン,41.3500,122.0000,州,4,00000
大連,Dalian,38.53,121.35,巨大都市,4,
シェンヤン,Shenyang,41.5,123.26,巨大都市,3,
撫順,Fushun,41.53301,123.523,巨大都市,5,
鞍山,Anshan,41.08298,122.59,巨大都市,5,
鉄嶺,Tieling,42.18,123.49,都市,5,
本渓,Benxi,41.18302,123.453,大都市,5,
阜新,Fuxin,42.043,121.443,大都市,5,
錦州,Jinzhou,41.08301,121.08,大都市,5,
営口,Yingkou,40.41002,122.13,都市,5,
吉林省,チーリン,42.4000,127.0000,州,4,00000
長春,Changshun,43.53,125.19,巨大都市,3,
吉林,Jilin,43.51,126.32,大都市,5,
白城,Baicheng,45.373,122.473,都市,5,
敦化,Dunhua,43.21302,128.12,都市,5,
通化,Tonghua,41.433,125.543,都市,5,
四平,Siping,43.11298,124.21,都市,5,
黒龍江省,ヘイロンチャン,48.4000,127.4000,州,4,00000
ハルビン,Harbin,45.45,126.41,巨大都市,3,
綏化,Suihua,46.373,126.593,都市,5,
鶴崗,Hegang,47.223,130.193,都市,5,
佳木斯,Jiamusi,46.49,130.203,都市,5,
鶏西,Jixi,45.17,130.563,大都市,5,
牡丹江,Mudanjiang,44.35,129.343,大都市,5,
山西省,シャンシー,36.5500,112.1000,州,4,00000
太原,Taiyuan,37.55,112.3,巨大都市,3,
大同,Datong,40.05,113.14,大都市,5,
陽泉,Yangquan,37.52001,113.323,都市,5,
長治,Changzhi,36.13,113.053,都市,5,
陜西省,シャンシー,33.4000,108.1000,州,4,00000
西安,Xian,34.16,108.54,巨大都市,2,
宝鶏,Baoji,34.24299,107.083,都市,5,
咸陽,Xianyang,34.223,108.403,都市,5,
寧夏回族自治区,ニンシァホイツー,37.4000,106.0000,州,4,00000
河南省,ホーナン,34.0000,112.5000,州,4,00000
チョンチョウ,Zhengzhou,34.48,113.37,巨大都市,3,
南陽,Nanyang,33.00302,112.303,都市,5,
開封,Kaifeng,34.50298,114.19,都市,5,
新郷,Xinxiang,35.193,113.49,都市,5,
平頂山,Pingdingshan,33.45302,113.153,都市,5,
洛陽,Luoyang,34.43,112.28,大都市,5,
