地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>コロンビア(Colombia)</TITLE>,,,,,,
アルメニア,Armenia,4.313,-75.40599,巨大都市,5,
カリ,Cali,3.24302,-76.3,巨大都市,3,
バランキヤ,Barranquilla,11.05301,-74.50298,大都市,3,
カルタヘナ,Cartagena,10.24,-75.32298,都市,5,
ペレイラ,Pereira,4.47298,-75.44002,都市,5,
ククタ,C」cuta,7.55001,-72.313,都市,5,
ブカラマンガ,Bucaramanga,7.08298,-73.103,都市,5,
マニサレス,Manizales,5.03,-75.313,都市,5,
ベヨ,Bello,6.20298,-75.35002,都市,5,
パスト,Pasto,1.12302,-77.16599,都市,5,
ネイバ,Neiva,2.56298,-75.163,都市,5,
サンタ・マルタ,Santa Marta,11.15302,-74.11301,都市,5,
パルミラ,Palmira,3.33,-76.17002,都市,5,
ブエナベントゥラ,Buenaventura,3.523,-77.02002,都市,5,
バエドゥパル,Valledupar,10.29298,-73.15598,都市,5,
イバゲ,Ibague,4.44002,-75.22599,都市,5,
サンタフェデボゴタ,Santafe De bogota,4.49,-74.1,巨大都市,2,
メデリン,Medellin,6.15,-75.35002,巨大都市,3,
