地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>エジプト(Egypt)</TITLE>,,,,,,
アレキサンドリア,Alexandria,31.13,29.55,巨大都市,3,
ギーザ,Giza,30.01,31.1,巨大都市,5,
ポートサイド,Port Said,31.17298,32.18,都市,5,
タンタ,Tanta,30.48,30.59298,都市,4,
アシュート,Asyut,27.12299,31.09299,都市,4,
スエズ,Suez,29.59,32.31,都市,4,
ファイユーム,Al-Fayyum,29.193,30.493,都市,4,
ダマンフール,Damanhur,31.03299,30.28001,都市,5,
ミニヤー,Al-Minya,28.043,30.463,都市,4,
アスワン,Aswan,24.05,32.55,都市,4,
ベニ・スエフ,Bani Suwayf,29.06,31.043,都市,4,
ルクソール,Luxor,25.41,32.4,都市,4,
カイロ,Cairo,30.03302,31.15302,大都市,1,
ケナ,Qena,26.17514,32.38218,都市,4,
ソハーグ,Sohag,26.51068,31.20542,都市,5,
マトル,Matruh,31.15148,27.1644,都市,4,
