地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>フィンランド(Finland)</TITLE>,,,,,,
ヘルシンキ,Helsinki,60.103,24.56298,大都市,3,
タンペレー,Tampere,61.30299,23.433,都市,4,
ハメーンリンナ,Hameenlinna,60.5803,24.2104,小都市,6,
エスポー,Espoo,60.103,24.37,都市,5,
オウル,Oulu,64.59298,25.27299,小都市,4,
ロバニエミ,Rovaniemi,66.31458,25.3958,小都市,4,
ポリ,Pori,61.27302,21.45,小都市,5,
クオピオ,Kuopio,62.53002,27.38002,小都市,5,
ユバスキュラ,Jyvaskyla,62.16001,25.47298,小都市,5,
コトカ,Kotka,60.283,26.54302,小都市,5,
バーサ,Vaasa,63.05298,21.373,小都市,5,
トゥルク,Turky,60.26298,22.15302,都市,4,
