地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>フランス(France)</TITLE>,,,,,,
トゥールーズ,Toulouse,43.373,1.27302,都市,4,
ニース,Nice,43.42302,7.15302,都市,5,
ストラスブール,Strasbourg,48.36,7.45,都市,5,
ナント,Nantes,47.133,-1.34599,都市,5,
ボルドー,Bordeaux,44.5,-0.343,都市,4,
モンペリエ,Montpellier,43.35002,3.51,都市,5,
ルアーブル,Le Havre,49.3,0.073,都市,5,
レンヌ,Rennes,48.06,-1.40599,都市,5,
ランス,Reims,49.15,4.03299,都市,5,
トゥーロン,Toulon,43.08301,5.54299,都市,5,
クレルモン・フェラン,Clermont-Ferrand,45.47,3.06299,都市,5,
ディジョン,Dijon,47.18302,5.03,都市,5,
リモージュ,Limoges,45.51,1.15302,都市,5,
ペルピニャン,Perpignan,42.41,2.53,都市,5,
ルーアン,Rouen,49.27299,1.05,都市,5,
ナンシー,Nancy,48.41298,6.103,小都市,5,
カレー,Calais,50.57,1.523,小都市,5,
シェルブール,Cherbourg,49.38298,-1.38002,小都市,5,
リール,Lille,50.373,3.05301,都市,5,
パリ,Paris,48.523,2.223,巨大都市,2,
リヨン,Lyon,45.463,4.51,大都市,4,
マルセイユ,Marseille,43.193,5.223,大都市,2,
シャモニー,Chamonix,45.58,6.5,都市,5,
ルマン,Lemans,48.00302,0.11002,都市,4,
サン・ナゼール,Sr.Nazaire,47.20287,-2.11154,都市,5,
ブレスト,Brest,48.24176,-4.24043,都市,4,
アミアン,Amiens,49.54558,2.1505,都市,5,
メッツ,Metz,49.05535,6.06234,都市,5,
ミュルーズ,Mulhouse,47.50366,7.24133,都市,5,
ブザンソン,Besancon,47.13253,5.57436,都市,5,
アヌシー,Annecy,45.52235,6.03029,都市,5,
バイヨンヌ,Bayonne,43.29499,-1.2839,都市,5,
オルレアン,Orleaans,47.55379,1.53481,都市,5,
アンジェ,Angers,47.31304,-0.24018,都市,5,
ロリアン,Lorient,47.50366,-3.3027,都市,5,
