地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ドイツ(Germany)</TITLE>,,,,,,
ハンブルク,Hamburg,53.32298,9.59298,巨大都市,4,
ベルリン,Berlin,52.30299,13.223,巨大都市,1,
エッセン,Essen,51.2615,7.00299,大都市,5,
フランクフルト,Frankfurt,50.06,8.41,大都市,3,
ドルトムント,Dortmund,51.31,7.253,大都市,6,
シュトゥットガルト,Stuttgart,48.48,9.12,大都市,5,
デュッセルドルフ,Dusseldorf,51.12,6.48,大都市,5,
ライプチヒ,Leipzig,51.20298,12.24,大都市,5,
ブレーメン,Bremen,53.03299,8.49,大都市,5,
ドレスデン,Dresden,51.03302,13.44298,大都市,5,
デュースブルク,Duisburg,51.24151,6.46001,大都市,6,
ハノーファー,Hannover,52.223,9.44,大都市,5,
ニュルンベルク,Nurnberg,49.26298,11.04001,都市,5,
マンハイム,Mannheim,49.29,8.29,都市,6,
ボン,Bonn,50.43,7.05298,都市,4,
マクデブルク,Magdeburg,52.07,11.36302,都市,5,
ヴィースバーデン,Wiesbaden,50.04,8.133,都市,6,
ロストク,Rostock,54.043,12.07,都市,5,
アウクスブルク,Augsburg,48.23,10.54,都市,5,
キール,Kiel,54.18299,10.06,都市,5,
ハレ,Halle,51.29002,11.59002,都市,5,
エルフルト,Erfurt,50.583,11.02,都市,5,
マインツ,Mainz,49.59301,8.15302,都市,6,
フライブルク,Freiburg,47.59,7.493,都市,5,
カッセル,Kassel,51.19001,9.29,都市,5,
ザールブリュッケン,Saarbrucken,49.15,6.583,都市,5,
ポツダム,Potsdam,52.24,13.013,都市,5,
ハイデルベルク,Heidelberg,49.25,8.43,都市,5,
ブレーマーハーフェン,Bremerhaven,53.313,8.35002,都市,5,
シュウェリン,Schwerin,53.373,11.23002,都市,5,
ビュルツブルク,Wurzburg,49.48302,9.57,都市,5,
レーゲンスブルク,Regensburg,49.01001,12.073,都市,5,
ミュンヘン,Munchen,48.08298,11.35,巨大都市,2,
ローテンブルク,Rothenburg,49.3,10.05,都市,6,
ケルン,Koln,50.56298,6.56298,都市,5,
