地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ギリシャ(Greece)</TITLE>,,,,,,
アテネ,Athens,38,23.433,大都市,1,
テッサロニキ,Thessaloniki,40.39299,22.57,都市,4,
ピレウス,Piraeus,37.57302,23.403,都市,5,
パトラス,Patras,38.14298,21.45299,都市,5,
ラリッサ,Larissa,39.38298,22.26002,都市,5,
イラクリオン,Iraklion,35.21,25.1,都市,4,
ボロス,Volos,39.23002,22.56002,小都市,5,
オリンビア,Olimbia,37.40473,21.4429,小都市,5,
メガロポリス,Megalopolis,37.22469,22.08341,小都市,5,
スパルタ,Sparti,37.09194,22.22412,小都市,5,
ネアポリス,NeaPolis,36.33086,23.02553,小都市,5,
キティラ,Kithira,36.10289,23.00068,小都市,5,
オリンボス,Olimbos,35.47269,27.1209,小都市,5,
