地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>インド(India)</TITLE>,,,,,,
デリー,Delhi,27.49,77.3,巨大都市,3,
ニューデリー,New Delhi,28.33302,77.11002,巨大都市,2,
カルカッタ,Calcutta,22.34,88.24,巨大都市,1,
マドラス,Madras,13.06,80.163,巨大都市,2,
ハイダラーバード,Hyderabad,17.22,78.26,巨大都市,3,
アフマダーバード,Ahmadabad,23.02298,72.37001,巨大都市,3,
バンガロール,Bangalore,12.583,77.343,巨大都市,4,
カーンプル,Kanpur,26.26298,80.15,巨大都市,3,
ナーグプル,Nagpur,21.103,79.09,巨大都市,3,
ラクナウ,Lucknow,26.493,80.56301,巨大都市,4,
プネー,Pune,18.32301,73.56002,巨大都市,4,
スラト,Surat,21.08301,72.51,巨大都市,4,
ジャイプル,Jaipur,26.54,75.49001,巨大都市,3,
コインバトール,Coimbatore,11,76.57302,巨大都市,4,
マドゥライ,Madurai,9.55,78.06302,巨大都市,3,
インドール,Indore,22.433,75.523,巨大都市,4,
ボーパール,Bhopal,23.163,77.23298,巨大都市,4,
ビシャカパトナム,Vishakhapatnam,17.45302,83.17002,巨大都市,4,
パトナー,Patna,25.35298,85.073,大都市,4,
ハウラー,Howrah,22.35298,88.18299,大都市,5,
アラーハーバード,Allahabad,25.27302,81.49,大都市,4,
ジャカルタ,Jabalpur,23.11002,79.56298,大都市,4,
アムリッツァル,Amritsar,31.35298,74.523,大都市,4,
スリナガル,Srinagar,34.043,74.49001,大都市,4,
カリカット,Calicut,11.13,75.49001,大都市,4,
グワーリオール,Gwalior,26.14301,78.14301,大都市,4,
コーチン,Cochin,9.54302,76.14298,大都市,4,
ジョードプル,Jodhpur,26.17,73.02298,大都市,4,
ラーンチー,Ranchi,23.193,85.18299,都市,4,
トリバンドラム,Trivandrum,8.29,76.56301,都市,4,
ビジャヤワダ,Vijayawada,16.33302,80.36,都市,4,
ラージコート,Rajkot,22.19,70.493,都市,4,
マイソール,Mysore,12.17298,76.39302,都市,4,
ジャムシェドプル,Jamshedpur,22.45302,86.12299,都市,4,
メーラト,Meerut,29.01,77.433,都市,4,
バレーリー,Bareilly,28.23002,79.24,都市,4,
チャンディーガル,Chandigarh,30.45,76.54302,都市,4,
グントゥール,Guntur,16.18,80.24302,都市,4,
セーレム,Salem,11.36302,78.05002,都市,4,
コールハープル,Kolhapur,16.44298,74.13001,都市,4,
ライプル,Raipur,21.15,81.38298,都市,4,
ワランガル,Warangal,18,79.373,都市,4,
バウナガル,Bhavnagar,21.44301,72.11298,都市,4,
サハーランプル,Saharanpur,29.56301,77.35002,都市,4,
ゴーラクプル,Gorakhpur,26.44298,83.26002,都市,4,
ベルガウム,Belgaum,15.51302,74.31001,都市,4,
カタック,Cuttack,20.28,85.523,都市,4,
アムラバティ,Amravati,20.56298,77.47002,都市,4,
ビーカーネール,Bikaner,28.04001,73.19,都市,4,
ガヤー,Gaya,24.47298,84.59298,都市,4,
ジャーンシー,Jhansi,25.26298,78.343,都市,4,
ネロール,Nellore,14.26,79.57302,都市,4,
バーガルプル,Bhagalpur,25.14002,86.583,都市,4,
グルバルガ,Gulbarga,17.21299,76.48,都市,4,
ブバネーシュワル,Bhubaneswar,20.133,85.48299,都市,4,
ジャンムー,Jammu,32.43,74.51302,都市,4,
ボンベイ,Bombay,18.59,72.50298,巨大都市,3,
インパール,Imphal,24.42558,94.02107,都市,4,
ディブルガール,Dibrugarh,27.12292,94.22332,都市,4,
