地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>インドネシア(Indonesia)</TITLE>,,,,,,
ジャカルタ,Jakarta,-6.073,106.443,巨大都市,1,
スラバヤ,Surabaya,-7.14298,112.42,巨大都市,3,
メダン,Medan,3.36,98.39,巨大都市,3,
バンドン,Bandung,-6.56298,107.333,巨大都市,3,
スマラン,Semarang,-6.583,110.28,巨大都市,3,
パレンバン,Palembang,-2.583,104.45,大都市,3,
ウジュンパンダン,Ujung Pandang,-5.08298,119.27,大都市,3,
マラン,Malang,-7.59298,112.423,大都市,5,
パダン,Padang,-0.57302,100.22,都市,3,
スラカルタ,Surakarta,-7.32298,110.49,都市,5,
ジョクジャカルタ,Yogyakarta,-7.47298,110.223,都市,5,
バンジェルマシン,Banjarmasin,-3.193,114.333,都市,3,
ポンティアナ,Pontianak,-0.03598,109.173,都市,3,
バリクパパン,Balikpapan,-1.15299,116.49,都市,3,
サマリンダ,Samarinda,-0.3,117.073,都市,3,
デンパサル,Denpasar,-8.373,115.113,都市,5,
ボゴール,Bogor,-6.34599,106.453,都市,5,
テラナイプラ,Telanaipura,-1.36302,103.373,都市,5,
クディリ,Kediri,-7.47301,112.003,都市,5,
メナド,Manado,1.29,124.523,都市,4,
パカンバル,Pakanbaru,0.32298,101.273,都市,5,
マディウン,Madiun,-7.37001,111.31,都市,5,
ペマタンシアンタル,Pematangsiantar,2.58,99.02002,都市,5,
ペカロンガン,Pekalongan,-6.53298,109.373,都市,5,
マゲラン,Magelang,-7.28001,110.11,都市,5,
マタラム,Mataram,-8.33598,116.063,小都市,5,
タンジュンカラン,Tanjungkarang,-2.11,115.23,大都市,3,
ソロン,Sorong,-1,131,都市,3,
