地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>イラン(Iran)</TITLE>,,,,,,
テヘラン,Tehran,35.38301,51.24299,巨大都市,1,
イスファン,Isfahan,32.39299,51.38,大都市,5,
タブリーズ,Tabriz,38.02298,46.163,大都市,3,
シーラーズ,Shiraz,29.37,52.33,大都市,3,
ウルミエ,Orumiyeh,37.33,45.013,都市,5,
ラシュト,Rasht,37.16001,49.35002,都市,5,
サーヘダーン,Zahedan,29.3,60.52,都市,3,
ハマダーン,Hamadan,34.48,48.29002,都市,5,
ケルマーン,Kerman,30.15299,57.02298,都市,3,
カズビーン,Qazvin,36.15,49.583,都市,5,
ヤズド,Yazd,31.53298,54.223,都市,5,
マシュハド,Mashhad,36.1,59.49,巨大都市,3,
ケルマーンシャー,Kermanshah,34.3,47.49,大都市,3,
アフワーズ,Ahwaz,31.17,48.43,都市,4,
