地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>アイルランド(Ireland)</TITLE>,,,,,,
ダブリン,Dublin,53.2030,-006.1530,大都市,3,
ドロエダ,Drogheda,53.4249,-006.2028,都市,5,
ダンドルク,Dundaik,54.0034,-006.2439,都市,4,
スライゴ,Sligo,54.1636,-008.2832,都市,4,
リムリック,Limerick,52.3900,-008.3630,都市,4,
コーク,Cork,51.5330,-008.2600,都市,4,
ダンレアレ,Dun Laoghaire,53.1630,-006.0830,都市,6,
ツーラモーア,Tullamore,53.1740,-007.3402,小都市,5,
アスローン,Athlone,53.2625,-007.5712,小都市,5,
ゴルウェー,Galway,53.1819,-009.0224,小都市,5,
トラリー,Tralee,52.1541,-009.4350,小都市,5,
キラーニー,Kilarney,52.0259,-009.3134,小都市,5,
ウォーターフォード,Waterford,52.1552,-007.0715,小都市,5,
