地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>イタリア(Italy)</TITLE>,,,,,,
パレルモ,Palermo,38.073,13.21299,大都市,4,
ボローニャ,Bologna,44.3,11.20298,都市,4,
バリ,Bari,41.06302,16.52001,都市,4,
メッシナ,Messina,38.11298,15.32002,都市,4,
ベローナ,Verona,45.26298,10.59002,都市,5,
ターラント,Taranto,40.283,17.14002,都市,5,
トリエステ,Trieste,45.40001,13.46001,都市,5,
カリアリ,Cagliari,39.133,9.06,都市,5,
モデナ,Modena,44.39302,10.55001,都市,5,
パルマ,Parma,44.48302,10.21,都市,5,
フォッジア,Foggia,41.27302,15.34001,都市,5,
サレルノ,Salerno,40.42,14.463,都市,5,
ペルージア,Perugia,43.073,12.223,都市,5,
ラベンナ,Ravenna,44.25001,12.11298,都市,5,
ペスカラ,Pescara,42.27302,14.133,都市,5,
シラクザ,Siracusa,37.04001,15.163,都市,5,
モンツァ,Monza,45.35,9.16,都市,5,
サッサリ,Sassari,40.433,8.32002,都市,5,
ベルガモ,Bergamo,45.41,9.42,都市,5,
ラ・スペチア,La Spezia,44.07001,9.49,都市,5,
コゼンツァ,Cosenza,39.17298,16.14298,都市,5,
アンコナ,Ancona,43.37,13.3,都市,5,
ピサ,Pisa,43.44301,10.23298,都市,5,
ウディネ,Udine,46.03302,13.133,都市,5,
アレッサンドリア,Alessandria,44.55,8.36,都市,5,
ボルツァーノ,Bolzano,46.313,11.23301,都市,5,
ミラノ,Milano,45.27302,9.12302,巨大都市,3,
ナポリ,Napoli,40.51299,14.15,巨大都市,4,
ローマ,Roma,41.53298,12.30302,巨大都市,1,
トリノ,Torino,45.04001,7.40001,巨大都市,4,
ベネチア,Venezia,45.26,12.2,大都市,4,
イモラ,Imola,44.19,11.4,都市,5,
フィレンツェ,Firenze,43.463,11.15302,都市,4,
ジェノバ,Genova,44.26002,8.56,都市,4,
カターニア,Qatania,37.30302,15.03302,都市,4,
レッジョ・ディ・カラーブリア,Reggio di Calabria,38.03274,15.4053,都市,5,
カタンザーロ,Catanzaro,38.51356,16.36223,都市,5,
リミニ,Rimini,44.06108,12.29107,都市,5,
