地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>カザフスタン(Kazakhstan)</TITLE>,,,,,,
ルドヌイ,Rudny,52.43,63.04001,都市,4,
アルマトイ,Almaty,43.15,76.57,巨大都市,2,
カラガンダ,Karaganda,49.49451,73.09302,大都市,3,
アティラウ,Atyrau,47.1,52,都市,4,
ベイネウ,Beineu,45,55,都市,3,
クスタナイ,Kustanay,53.11002,63.35,都市,4,
ペトロパヴロフスク,Petropavlovsk,54.53449,69.08002,都市,4,
コクチェタフ,Kokchetav,53.17,69.25149,都市,4,
エキバストゥス,Ekibastuz,51.43,75.223,都市,4,
テミルタウ,Temirtau,50.05,72.56,都市,5,
セミパラチンスク,Semipalatinsk,50.27302,80.14449,都市,4,
ウスチカメノゴルスク,Ust-Kamenogorsk,49.58001,82.38,都市,4,
ツェリノグラード,Tselinograd,51.0945,71.2915,都市,3,
パヴロダル,Pavlodar,52.18,76.57,都市,3,
アクチュビンスク,Aktybinsk,50.163,57.09302,大都市,3,
ウラリスク,Uralsk,51.14,51.2145,都市,4,
シェフチェンコ,Shevchenko,43.37001,51.11,都市,4,
グリエフ,Guryev,47.07001,51.55451,都市,5,
クジル・オルダ,Kzyl-Orda,44.51302,65.27,都市,5,
チムケント,Chimkent,42.17298,69.36,都市,5,
ジャンブル,Dzhambul,42.52451,71.223,都市,5,
