地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>韓国(Korea)</TITLE>,,,,,,
ソウル,Seoul,37.3200,126.5830,巨大都市,2,
釜山,Pusan,35.0600,129.0100,巨大都市,2,
テグ,Taegu,35.5130,128.3500,巨大都市,4,
インチョン,Inchon,37.2900,126.3900,巨大都市,5,
光州,Kwangju,35.0700,126.5230,巨大都市,3,
大田,Taejon,36.2100,127.2500,巨大都市,3,
ウルサン,Ulsan,35.3230,129.2100,大都市,4,
マサン,Masan,35.1100,128.3330,都市,5,
スウォン,Suwon,37.1600,127.0000,都市,5,
チョンジュ,Chonju,35.4930,127.0800,都市,5,
チェジュ,Cheju,33.3100,126.3200,都市,4,
群山,Kunsan,35.5030,126.4000,都市,5,
麗水,Yosu,34.4730,127.4330,都市,5,
原州,Wonju,37.2130,127.5700,都市,5,
チョンジュ,Chongiu,37.3000,126.3800,大都市,5,
ポハン,Pohang,36.0318,129.2018,大都市,5,
プチョン,Puchon,37.3704,126.3533,大都市,6,
ソンナム,Songnam,37.2240,127.0753,大都市,6,
