地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>メキシコ(Mexico)</TITLE>,,,,,,
グアダラハラ,Guadalajara,20.4000,-103.2030,巨大都市,3,
モンテレイ,Monterrey,25.4000,-100.1830,巨大都市,3,
プエブラ,Puebla,19.0300,-098.0930,巨大都市,4,
ラパス,La Paz,24.0000,-111.0000,大都市,3,
レオン,Leon,21.1000,-101.4200,大都市,3,
シウダードフアレス,Ciudad Juarez,31.4030,-106.2930,大都市,4,
メヒカリ,Mexicali,32.3730,-115.2830,大都市,4,
ティファナ,Tijuana,32.2800,-117.0100,都市,5,
メリダ,Merida,20.5800,-089.3700,都市,3,
アカプルコ,Acapulco,16.5100,-099.5600,都市,3,
オアハカ,Oaxaca,17.0228,-096.4705,都市,3,
トレオン,Torreon,25.3200,-103.2500,都市,3,
アグアスカリエンテス,Aguascalientes,21.5300,-102.1800,都市,4,
モレリア,Morelia,19.4130,-101.0900,都市,4,
エルモシヨ,Hermosillo,29.0530,-110.5800,都市,3,
サルティヨ,Saltillo,25.2500,-100.5930,都市,4,
ベラクルス,Veracruz,19.1200,-096.0800,都市,4,
ケレタロ,Queretaro,20.3500,-100.2200,都市,5,
タンピコ,Tampico,22.1400,-097.5300,都市,3,
マサトラン,Mazatlan,23.1400,-106.2400,都市,5,
イラプアト,Irapuato,20.4030,-101.2130,都市,5,
マタモロス,Matamoros,25.5130,-097.3030,都市,5,
クエルナバカ,Cuernavaca,18.5500,-099.1400,都市,4,
セラヤ,Celaya,20.3100,-100.4830,都市,5,
ハラパ・エンリケス,Jalapa Enriquez,19.3330,-096.5500,都市,5,
レイノサ,Reynosa,26.0400,-098.1800,都市,5,
ヌエボ・ラレド,Nuevo Laredo,27.2800,-099.3130,都市,5,
コアツァコアルコス,Coatzacoalcos,18.0730,-094.2530,都市,5,
テピク,Tepic,21.3030,-104.5400,都市,5,
シウダード・オブレゴン,Ciudad Obregon,27.2900,-109.5630,都市,5,
トゥストラ・グティエレス,Tuxtla Gutierrez,16.4500,-093.0700,都市,5,
シウダード・ビクトリア,Ciudad Victoria,23.4400,-099.0730,都市,5,
カンペチェ,Campeche,19.4930,-090.3200,都市,5,
ミナティトラン,Minatitlan,17.5830,-094.3200,都市,5,
シウダード・マデロ,Ciudad Madero,22.1700,-097.5000,都市,5,
ロス・モチス,Los Mochis,25.3530,-108.5800,都市,5,
モンテクロバ,Monclova,26.5400,-101.2430,都市,5,
ゴメス・パラシオ,Gomez Palacio,25.3530,-103.3100,都市,5,
オリサバ,Orizaba,18.5100,-097.0530,都市,5,
クリアカン,Culiacan,24.4700,-107.2330,都市,5,
メキシコシティ,Mexicocity,19.2500,-099.1000,巨大都市,1,
チワワ,Chinuahua,28.3930,-106.0600,大都市,3,
サンルイスポトシ,San Luis potosi,22.0900,-100.5800,大都市,4,
