地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>モロッコ(Morocco)</TITLE>,,,,,,
アガディール,Agadir,30.3,-9.39302,都市,4,
アーシフィー,Asifi,32.19,-9.16599,都市,4,
カニートラ,Kenitra,34.20298,-6.373,都市,4,
マラケシュ,Marrakech,31.38,-7.59298,都市,4,
タンジール,Tangier,35.47298,-5.51,都市,4,
タトワーン,Tatwan,35.343,-5.223,都市,4,
ウジュダ,Wujda,34.403,-1.51,都市,4,
カサブランカ,Casablanca,33.37,-7.34599,巨大都市,1,
ラバト,Rabat,34.013,-6.50298,大都市,3,
フェス,Fes,34.07451,-4.55023,都市,4,
メクネス,Meknes,34.10376,-5.26586,都市,5,
エル・ジャディダ,El Jadida,32.59128,-8.36526,都市,4,
タルファヤ,Tarfaya,27.54058,-12.40095,小都市,4,
ジジ・イフニ,Sidi Ifni,29.11182,-10.13512,小都市,4,
セタート,Settat,33.14503,-8.13584,都市,4,
