地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>オランダ(Netherlands)</TITLE>,,,,,,
ロッテルダム,Rotterdam,51.54302,4.283,都市,4,
ハーグ,Hague,52.05301,4.17,都市,5,
ユトレヒト,Utrecht,52.05002,5.073,都市,5,
エイントホーフェン,Eindhoven,51.26,5.3,都市,6,
フローニンゲン,Groningen,53.12302,6.35,都市,5,
ティルブルフ,Tilburg,51.33302,5.05298,都市,6,
ハールレム,Haarlem,52.223,4.38,都市,6,
アープルドールン,Apeldoorn,52.12302,5.57302,都市,6,
ナイメーヘン,Nijmegen,51.493,5.51302,都市,5,
エンスヘーデ,Enschede,52.12302,6.53301,都市,5,
アルンヘム,Arnhem,51.59,5.553,都市,5,
ブレダ,Breda,51.35,4.46001,都市,5,
マーストリヒト,Maastricht,50.51,5.43001,都市,5,
ドルドレヒト,Dordrecht,51.48302,4.39,都市,6,
ライデン,Leiden,52.08298,4.3,都市,6,
アムステルダム,Amsterdam,52.21,4.53298,小都市,3,
