地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ナイジェリア(Nigeria)</TITLE>,,,,,,
ラゴス,Lagos,6.283,3.24302,巨大都市,1,
イバダン,Ibadan,7.23298,3.553,巨大都市,3,
オグボモショ,Ogbomosho,8.05298,4.11,大都市,5,
カノ,Kano,12.00302,8.31001,大都市,3,
オショグボ,Oshogbo,7.51,4.343,都市,5,
イロリン,Ilorin,8.32,4.33302,都市,4,
ポートハーコート,Port Harcourt,4.433,7.073,都市,4,
ザリア,Zaria,11.02002,7.43,都市,4,
オニチャ,Onitsha,6.10001,6.48299,都市,4,
カドゥナ,Kaduna,10.31,7.253,都市,4,
マイドゥーグリ,Maiduguri,11.523,13.12302,都市,4,
エヌグ,Enugu,6.23298,7.27302,都市,4,
アバ,Aba,5.06302,7.21,都市,4,
オヨ,Oyo,7.51302,3.56,都市,4,
ベニンシティ,Benin City,6.18302,5.41,都市,4,
ジョス,Jos,9.51,8.51,都市,4,
カツィナ,Katsina,13.00302,7.32,都市,4,
ソコト,Sokoto,13.03,5.15302,都市,4,
カラバール,Calabar,4.57,8.21,都市,4,
ミナー,Minna,9.38002,6.32298,都市,4,
マクルディ,Makurdi,7.44002,8.33,都市,4,
アブジャ,Abuja,9.1,7.06,小都市,2,
