地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ノルウェー(Norway)</TITLE>,,,,,,
オスロ,Oslo,59.55001,10.45,都市,3,
トロンヘイム,Trondheim,63.25001,10.23298,都市,3,
スタバンゲル,Stavanger,58.583,5.44002,小都市,5,
クリスティアンサン,Kristiansand,58.08298,7.583,小都市,5,
ドランメン,Drammen,59.44298,10.12302,小都市,5,
ベルゲン,Bergen,60.23298,5.21,都市,3,
モス,Moss,59.26298,10.41298,小都市,5,
ナルヴィク,Narvik,68.1,17,小都市,3,
ハーマル,Hamar,60.51569,10.5937,小都市,5,
リレハンメル,Lillehammer,61.08262,10.26049,小都市,5,
ロム,Lom,61.5114,8.3201,小都市,5,
ゲイランゲル,Geiranger,62.06036,7.18529,小都市,5,
ローエン,Loen,61.5253,6.51277,小都市,5,
バレストランド,Balestrand,61.15119,7.15086,小都市,5,
ボス,Voss,60.38013,6.27526,小都市,5,
ライカンゲル,Leikanger,61.1317,6.45292,小都市,5,
ハンメルフェスト,Hammerfest,70.37548,23.42482,小都市,4,
