地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>パキスタン(Pakistan)</TITLE>,,,,,,
カラチ,Karachi,24.52,67.02,巨大都市,2,
ハイダラーバード,Hyderabad,25.22,68.24302,巨大都市,3,
ファイサラバード,Faisalabad,31.23301,73.08298,巨大都市,4,
ラーワルピンディー,Rawalpindi,33.373,73.06,大都市,5,
ムルターン,Multan,30.10001,71.35298,大都市,3,
グジュラーンワーラ,Gujranwala,32.07,74.12,大都市,5,
ペシャーワル,Peshawar,34.00302,71.39302,大都市,4,
シアールコート,Sialkot,32.29,74.35298,都市,5,
サルゴーダ,Sargodha,32,72.38301,都市,5,
クエッタ,Quetta,30.11298,66.59298,都市,4,
イスラマバード,Islamabad,33.403,73.103,都市,3,
サッカル,Sukkur,27.433,68.52001,都市,5,
バハーワルプル,Bahawalpur,29.22,71.42299,都市,5,
グジラート,Gujrat,32.35002,74.06,都市,5,
サヒワル,Sahiwal,30.39,73.09,都市,5,
ラホール,Lahole,31.33302,74.24,巨大都市,3,
ナワブシャー,Nawabshah,25.48302,68.3453,都市,5,
ラヒームヤル・ハーン,Rahimyar Khan,28.41593,70.36137,都市,5,
