地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>フィリピン(Philippines)</TITLE>,,,,,,
マニラ,Manila,14.36,121.003,巨大都市,1,
ケソン,Quezon,14.39,121.02,巨大都市,5,
ダヴァオ,Davao,7.043,125.37,大都市,3,
セブ,Cebu,10.19,123.553,大都市,3,
サンボアンガ,Zamboanga,6.55001,122.043,都市,4,
バコロド,Bacolod,10.37,122.58,都市,5,
イロイロ,Iloilo,10.42,122.323,都市,4,
ブトゥアン,Butuan,8.56002,125.32,都市,4,
オロンガポ,Olongapo,14.50298,120.163,都市,5,
バタンガス,Batangas,13.46,121.03,都市,5,
カバナトゥアン,Cabanatuan,15.313,121,都市,5,
サン・パブロ,San Pablo,14.05301,121.17,都市,5,
バギオ,Baguio,16.23002,120.363,都市,4,
リパ,Lipa,13.57302,121.093,都市,5,
タクロバン,Tacloban,11.13,124.593,都市,4,
アンヘレス,Angeles,15.103,120.33,都市,5,
カルバヨグ,Calbayog,12.043,124.37,大都市,4,
レガスピ,Legaspi,13.07,123.433,都市,4,
カガヤンデオロ,Cagayan De oro,8.29,124.4,大都市,4,
ヘナラル・サントス,General Santos,6.10462,125.04,都市,4,
コタバト,Cotabato,7.11521,124.1544,都市,4,
ロハス,Roxas,11.32251,122.49,都市,4,
プエルト・プリンセサ,Puerto Princesa,9.49296,118.3938,小都市,4,
