地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ルーマニア(Romania)</TITLE>,,,,,,
ブカレスト,Bucharest,44.27,26.08002,巨大都市,3,
ブラショブ,Brasov,45.39,25.343,都市,5,
コンスタンツァ,Constanta,44.12,28.38301,都市,5,
ティミショアラ,Timisoara,45.45,21.133,都市,5,
ヤシ,Iasi,47.09302,27.36,都市,5,
ガラツィ,Galati,45.27,28.00299,都市,5,
クラヨバ,Craiova,44.18302,23.48299,都市,5,
ブライラ,Braila,45.17,27.57,都市,5,
プロイエシュティ,Ploiesti,44.57,26.00302,都市,5,
オラデア,Oradea,47.03302,21.55001,都市,5,
アラド,Arad,46.11298,21.19,都市,5,
バカウ,Bacau,46.34001,26.55001,都市,5,
シビウ,Sibiu,45.47002,24.08002,都市,5,
トゥルグ・ムレシュ,Tirgu Mures,46.33302,24.35298,都市,5,
ピテシュティ,Pitesti,44.51302,24.52001,都市,5,
バヤ・マーレ,Baia Mare,47.39302,23.34,都市,5,
サトゥ・マーレ,Satu Mare,47.48302,22.54,都市,5,
クルジュ,Cluj,46.463,23.36302,都市,5,
