地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ロシア連邦(Russian Federation)</TITLE>,,,,,,
ノボォシビルスク,Novosibirsk,55.0230,083.0030,巨大都市,2,
スベルドロフスク,Sverdlovsk,56.5130,060.3300,巨大都市,5,
オムスク,Omsk,54.5945,073.2430,巨大都市,3,
カザン,Kazan,55.4900,049.0800,巨大都市,3,
ペルミ,Perm,58.0000,056.1500,巨大都市,3,
ウファ,Ufa,54.4400,055.5600,巨大都市,3,
ロストフナドー,Rostov-on-Don,47.1500,039.4500,巨大都市,5,
ヴォルゴグラード,Volgograd,48.4400,044.2515,大都市,3,
サラトフ,Saratov,51.3345,046.0015,大都市,4,
ウラジオストク,Vladivostok,43.0930,131.5530,大都市,2,
イルクーツク,Irkutsk,52.1545,104.1815,大都市,1,
クラスノダル,Krasnodar,45.0200,039.0000,大都市,3,
ハバロフスク,Khabarovsk,48.3200,135.0800,大都市,2,
アストラハン,Astrakhan,46.2100,048.0300,大都市,3,
ムルマンスク,Murmansk,68.5730,033.0645,都市,3,
アルハンゲリスク,Arkhangelsk,64.3400,040.3430,都市,4,
チタ,Chita,52.0300,113.3000,都市,3,
サント,Saransk,54.1100,045.1100,都市,4,
ペトロザボーツク,Petrozavodsk,61.4700,034.1930,都市,4,
アンガルスク,Angarsk,52.3400,103.5400,都市,3,
ブラーツク,Bratsk,56.0500,101.4800,都市,3,
ノブゴロド,Novgorod,58.2930,031.1430,都市,4,
ヤクーツク,Yakutsk,62.0000,129.4000,都市,2,
エカテリンブルグ,Ekaterinburg,56.5000,060.3000,巨大都市,3,
ニジニノヴゴロド,Nizhnii Novgorod,56.2000,044.0000,巨大都市,3,
ロストフナドヌー,Rostov Na donu,47.1500,039.4500,巨大都市,3,
サマラ,Samara,53.0000,050.1000,巨大都市,3,
サンクトペテルブルグ,Sankt Peterburg,60.0000,030.0000,巨大都市,2,
チェリャビンスク,Chelvabinsk,55.1015,061.2400,巨大都市,3,
モスクワ,Moskva,55.4445,037.4215,巨大都市,1,
グロズヌイ,Groznyi,43.2000,045.4200,大都市,3,
ウランウデ,Ulan-ude,51.5000,107.3700,大都市,3,
クラスノヤルスク,Krasnoyarsk,56.0245,092.4830,大都市,3,
アンバルチク,Ambarchik,69.3000,162.3000,都市,3,
ディクソン,Dikson,73.0000,081.0000,都市,3,
ハタンガ,Khatanga,72.0000,102.3000,都市,3,
ノルドヴィク,Nordvik,74.0000,111.0000,都市,3,
オハ,Okha,53.3405,142.5055,都市,3,
ノグリキ,Nogliki,51.4935,143.0006,都市,4,
オホーツク,Okhotsk,59.2000,143.0000,都市,3,
パラナ,Palana,59.0000,160.0000,都市,3,
ペヴェク,Pevek,69.3000,171.0000,都市,3,
ティクシ,Tiksi,71.3000,129.0000,都市,3,
ウエレン,Uelen,66.0000,-170.0000,都市,3,
ベルホヤンスク,Verkhoyansk,67.3000,133.0000,都市,3,
ユジノサハリンスク,Yuzhno Sakhalinsk,46.5756,142.4324,都市,3,
ナホトカ,Nakhodka,42.4758,133.0541,都市,5,
ウスリースク,Ussuriysk,43.4649,131.5303,都市,5,
マガダン,Magadan,59.4049,150.4123,都市,4,
コムソモリスク・ナ・アムーレ,Komsomol'sk-na-Amure,50.1425,136.5255,都市,4,
トムスク,Tomsk,56.3138,085.4147,大都市,4,
バルナウル,Barnaul,53.2303,083.2709,大都市,4,
ケメロボ,Kemerovo,55.1720,087.4833,大都市,4,
ニジネバルトフスク,Nizhnevartovsk,61.0238,076.2848,都市,4,
スルグト,Surgut,62.0234,073.0609,都市,4,
ボルクタ,Vorkuta,67.2914,063.5058,都市,4,
ヤロスラブリ,Yaroslavl,57.4827,039.3827,大都市,4,
トゥラ,Tula,54.0114,038.2311,大都市,4,
リャザニ,Ryazan,54.3352,039.3639,大都市,4,
ペンザ,Penza,53.0112,045.0303,大都市,4,
シンビルスク,Simbirsk,54.2743,048.0308,大都市,4,
ボロネジ,Voronezh,51.3924,039.1952,大都市,4,
オレンブルグ,Orenburg,51.5643,055.0031,大都市,4,
トリヤッティ,Tol'yatti,53.2503,049.3202,大都市,4,
ナベレジヌイエ・チェルニー,Naberezhnyye Chelny,55.3407,052.0917,大都市,4,
イジェフスク,Izhevsk,56.5319,053.0158,大都市,4,
ノボクズネツク,Novokuznetsk,53.4706,088.0400,大都市,4,
ルブツォフスク,Rubtsovsk,51.3729,081.3058,都市,4,
ビースク,Biysk,52.2944,084.5322,都市,4,
チャラ,Chara,56.5530,118.3300,小都市,4,
ベーリンゴフスキー,Beringovskiy,63.0155,179.0731,小都市,4,
アナドィリ,Anadyr',64.3332,176.3208,小都市,4,
バンカレム,Vankarem,67.4800,-176.0028,小都市,4,
ペトロバフロスク・カムチャツキー,Petropavlovsk-Kamchatskiy,53.1505,158.2444,都市,3,
ケーニヒスベルグ,Konigsberg,54.4339,020.3930,都市,5,
レイドボ,,45.1457,148.0206,小都市,6,
キトブイ,,45.1611,147.5319,小都市,7,
クリリスク,,45.1321,147.5238,小都市,6,
ルイバキ,,45.1047,147.5215,小都市,7,
プレペスニク,,44.5459,147.3720,小都市,6,
ユジノ・クリリスク,,44.0202,145.5051,小都市,6,
メンデレーエフ,,43.5533,145.4017,小都市,6,
コロブニノ,,43.4431,145.3059,小都市,6,
マロクリリスコエ,,43.5157,146.4917,小都市,6,
マタコタン,,43.5137,146.4747,小都市,7,
クラポザポツコエ,,43.4913,146.4339,小都市,6,
