地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>南アフリカ(South Africa)</TITLE>,,,,,,
ポートエリザベス,Port Elizabeth,-33.583,25.35002,都市,4,
ピーターマリッツバーグ,Pietermaritzburg,-29.35298,30.17002,都市,4,
ジャーミストン,Germiston,-26.14002,28.103,都市,5,
ブルームフォンテイン,Bloemfontein,-29.073,26.12299,都市,4,
キンバリー,Kimberley,-28.43001,24.44301,小都市,4,
スプリングズ,Springs,-26.15,28.27,小都市,5,
フェーリーニヒング,Vereeniging,-26.38298,27.56298,小都市,4,
イーストロンドン,East London,-32.59298,27.54302,都市,4,
ダーバン,Durban,-29.51598,30.57,都市,4,
ヨハネスバーグ,Johannesburg,-26.09302,28.03,都市,4,
ケープタウン,Cape Town,-33.57299,18.27,大都市,1,
プレトリア,Pretonia,-25.45,28.12,大都市,2,
