地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>スペイン(Spain)</TITLE>,,,,,,
マドリード,Madrid,40.25001,-3.433,巨大都市,2,
バルセロナ,Barcelona,41.25,2.1,巨大都市,3,
バレンシア,Valencia,39.28,-0.22,大都市,4,
マラガ,Malaga,36.44002,-4.26002,大都市,4,
ビルバオ,Bilbao,43.14298,-2.54598,都市,4,
バリャドリード,Valladolid,41.39,-4.45302,都市,4,
ムルシア,Murcia,37.583,-1.09302,都市,4,
ビゴ,Vigo,42.12299,-8.44002,都市,4,
ヒホン,Gijon,43.313,-5.403,都市,4,
アリカンテ,Alicante,38.21,-0.3,都市,4,
ラ・コルニャ,La Coruna,43.21,-8.24598,都市,5,
サラゴサ,Zaragoza,41.39,-0.57302,都市,4,
サンタンデル,Santander,43.27302,-3.51598,都市,5,
サンセバスティアン,San Sebastian,43.18302,-1.58599,都市,5,
サラマンカ,Salamanca,40.57302,-5.39598,都市,5,
ブルゴス,Burgos,42.20002,-3.42302,都市,5,
アルメリア,Almeria,36.51299,-2.27302,都市,5,
ウエルバ,Huelva,37.16001,-6.56002,都市,5,
アルバセテ,Albacete,38.59,-1.51302,都市,5,
グラナダ,Granada,37.12302,-3.39598,小都市,5,
オビエド,Oviedo,43.21302,-5.51299,小都市,5,
セビリャ,Sevilla,37.23,-6,都市,4,
オレンセ,Orense,42.23337,-7.47427,都市,5,
レオン,Leon,42.35078,-5.37559,都市,5,
ビトリア,Vitoria,42.5149,-2.37523,都市,5,
ログローニョ,Logrono,42.24169,-2.25088,都市,5,
パンプローナ,Pamplona,42.49383,-1.35571,都市,5,
レリダ,Lerida,41.34052,0.3412,都市,5,
マタロ,Mataro,41.39472,2.37019,都市,5,
タラゴーナ,Tarragona,41.13286,1.26283,都市,5,
カステリョン・デ・ラ・プラナ,Castellon de la Plana,40.00263,-0.0247,都市,5,
バダホス,Badajoz,38.54097,-6.51173,都市,5,
コルドバ,Cordoba,37.54587,-4.35182,都市,5,
ハエン,Jaen,37.48137,-3.46512,都市,5,
カルタヘーナ,Cartagena,37.37268,-0.56323,都市,5,
カディス,Cadiz,36.2839,-6.10383,都市,5,
