地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>スイス(Swiss)</TITLE>,,,,,,
バーゼル,Basel,47.32298,7.35298,都市,5,
ベルン,Bern,46.56002,7.27299,都市,4,
ローザンヌ,Lausanne,46.313,6.38298,都市,4,
ルツェルン,Luzern,47.02298,8.17002,小都市,6,
ビール,Biel,47.1,7.16,小都市,5,
トゥーン,Thun,46.46,7.38,小都市,6,
チューリッヒ,Zurich,47.19,8.3,都市,4,
ブリーク,Brig,46.2,8,小都市,6,
インターラーケン,Interlaken,46.41,7.51,小都市,5,
ロカルノ,Locarno,46,8.4,小都市,6,
マルティニー,Martigny,46.05,7,小都市,6,
モントレー,Montreux,46.25,6.55,小都市,6,
オルテン,Olten,47.2,7.55,小都市,6,
ジュネーブ,Geneve,46.12,6.08002,都市,3,
