地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>台湾(Taiwan)</TITLE>,,,,,,
台北,Taipei,25.0230,121.3041,巨大都市,1,
淡水,,25.1000,121.2600,小都市,6,
桃園,Taoyuan,25.0000,121.1700,都市,5,
新竹,Hsinchu,24.4800,120.5700,都市,5,
苗栗,Miaoli,24.3200,120.4600,都市,5,
台中,Taichung,24.0900,120.4000,大都市,4,
鹿港,,24.0349,120.2509,小都市,6,
彰化,Changhua,24.0500,120.3200,都市,5,
嘉義,Chiai,23.2900,120.2800,都市,5,
台南,Tainan,23.0100,120.1400,大都市,4,
高雄,Kaohsiung,22.3600,120.1700,巨大都市,3,
屏東,Pingtung,22.4000,120.2900,都市,5,
宜蘭,Ilan,24.4500,121.4500,都市,5,
花蓮,Hwalien,23.5900,121.3500,都市,5,
台東,Taitung,22.4500,121.0800,都市,5,
