地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>トルコ(Turkey)</TITLE>,,,,,,
イスタンブール,Istanbul,41.0130,028.5600,巨大都市,2,
アンカラ,Ankara,39.5630,032.5100,巨大都市,3,
イズミル,Izmir,38.2430,027.1030,巨大都市,3,
ブルサ,Bursa,40.1200,029.0330,大都市,4,
ガジアンテプ,Gaziantep,37.0430,037.2130,大都市,3,
コニヤ,Konya,37.5200,032.3100,大都市,4,
カイセリ,Kayseri,38.4230,035.2830,都市,4,
エスキシェヒル,Eskisehir,39.4630,030.2930,都市,4,
メルシン,Mersin,36.4700,034.3630,都市,4,
ディヤルバキル,Diyarbakir,37.5500,040.1330,都市,4,
サムスン,Samsun,41.1700,036.2000,都市,4,
アンタリヤ,Antalya,36.5300,030.4200,都市,4,
エルズルム,Erzurum,39.5530,041.1700,都市,4,
マラトヤ,Malatya,38.2130,038.1830,都市,4,
シワス,Sivas,39.4430,037.0200,都市,4,
エラーズー,Elazig,38.4130,039.1400,都市,4,
バルケシル,Balikesir,39.3800,027.5200,都市,4,
ワン,Van,38.2730,043.2000,都市,4,
キュタヒヤ,Kutahya,39.2430,029.5800,都市,4,
ゾングルダク,Zonguldak,41.2920,031.5437,都市,4,
アダパザル,Adapazari,40.4332,030.4026,都市,4,
イズミット,Izmit,40.4443,029.5807,小都市,5,
デニズリ,Denizli,37.4949,029.0948,都市,4,
アダナ,Adana,37.0919,035.1842,大都市,4,
マラシ,Maras,37.3917,036.5509,都市,4,
