地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>アメリカ(USA)</TITLE>,,,,,,
アラバマ州,Alabama,32.3702,-086.3816,州,4,
バーミングハム,Birmingham,33.31,-86.48,巨大都市,3,
ハンツビル,Huntsville,34.44002,-86.343,都市,5,
モンゴメリー,Montgomery,32.22,-86.17298,都市,5,
モビール,Mobile,30.41,-88.03598,都市,5,
アラスカ州,Alaska,65.3614,-152.4737,州,4,
アンカレジ,Anchorage,61.12,-149.54,都市,1,
バロー,Barrow,70.3,-156.4,小都市,3,
ベセル,Bethel,61,-161.4,小都市,3,
ノーム,Nome,64.4,-165.3,小都市,3,
アリゾナ州,Arizona,34.3117,-112.1658,州,4,
フェニックス,Phoenix,33.3,-112.043,小都市,3,
メサ,Mesa,33.24302,-111.49,都市,5,
トゥーソン,Tucson,32.13001,-110.563,都市,5,
アーカンソー州,Arkansas,34.2543,-092.2108,州,4,
リトル・ロック,Little Rock,34.433,-92.17298,都市,5,
カリフォルニア州,California,36.0435,-120.0246,州,4,
ロサンゼルス,Los Angeles,34.013,-118.143,巨大都市,1,
サンディエゴ,Sandiego,32.44002,-117.083,巨大都市,2,
サンフランシスコ,San Francisco,37.45,-122.26,大都市,2,
サクラメント,Sacramento,38.33302,-121.293,都市,5,
ストックトン,Stockton,37.57,-121.183,都市,5,
オークランド,Oakland,37.52001,-121.57,都市,5,
バークリー,Berkeley,37.523,-122.16,都市,5,
サンノゼ,San Jose,37.2445,-122.0215,大都市,5,
フレズノ,Fresno,36.43,-119.46,都市,5,
ベーカーズフィールド,Bakersfield,35.23002,-119.003,都市,5,
サン・バーナディーノ,San Bernardino,34.073,-117.183,都市,5,
ロングビーチ,Long Beach,33.47002,-118.106,都市,5,
コロラド州,Colorado,39.0447,-106.3551,州,4,
デンバー,Denver,39.45,-105.003,都市,3,
コロラドスプリングス,Colorado Springs,38.52,-104.493,都市,3,
プエブロ,Pueblo,38.163,-104.363,都市,5,
コネチカット州,Connecticut,41.5705,-072.4315,州,4,
ハートフォード,Hartford,41.45302,-72.41298,都市,5,
ニューヘブン,New Haven,41.19,-72.553,都市,5,
デラウエア州,Delaware,38.4551,-075.2304,州,4,
フロリダ州,Florida,28.4811,-081.5554,州,4,
ジャクソンヴィル,Jacksonville,30.20002,-81.403,大都市,3,
マイアミ,Miami,25.45302,-80.12299,都市,2,
タラハシー,Tallahassee,30.26,-84.17002,都市,5,
オーランド,Orlando,28.32298,-81.223,都市,5,
タンパ,Tampa,27.57,-82.27302,都市,3,
フォート・ローダデール,Fort Lauderdale,26.06302,-80.09299,都市,5,
ジョージア州,Georgia,32.3316,-083.1853,州,4,
アトランタ,Atlanta,33.45299,-84.223,都市,2,
メーコン,Macon,32.5,-83.373,都市,5,
ハワイ州,Hawaii,19.3431,-158.1033,州,4,
ホノルル,Honolulu,21.19,-157.51,都市,1,
アイダホ州,Idaho,45.3536,-116.1428,州,4,
ボイシ,Boise,44,-116,都市,5,
イリノイ州,Illinois,39.0447,-089.2530,州,4,
シカゴ,Chicago,41.51,-87.42598,巨大都市,2,
ロックフォード,Rockford,42.163,-89.05298,都市,5,
ピオリア,Peoria,40.42,-89.36,都市,5,
インディアナ州,Indiana,40.5638,-086.4036,州,4,
インディアナポリス,Indianapolis,39.46001,-86.08298,大都市,3,
ゲーリー,Gary,41.35298,-87.20298,都市,5,
サウス・ベンド,South Bend,41.41,-86.15,都市,5,
フォート・ウェーン,Fort Wayne,41.06302,-85.073,都市,5,
エバンズビル,Evansville,37.59002,-87.33302,都市,5,
アイオワ州,Iowa,43.1749,-095.2546,州,4,
デ・モイン,Des Moines,41.35298,-93.373,都市,5,
カンザス州,Kansas,38.4828,-098.0141,州,4,
トピーカ,Topeka,39.013,-95.403,都市,5,
ウィチタ,Wichita,37.42,-97.193,都市,3,
ケンタッキー州,Kentucky,37.2429,-084.5259,州,4,
レキシントン,Lexington,38.02298,-84.3,都市,5,
ルイスビル,Louisville,38.14298,-85.45302,都市,5,
ルイジアナ州,Louisiana,30.2555,-092.0348,州,4,
ニューオーリンズ,New Orleans,29.583,-90.05002,都市,5,
バトン・ルージュ,Baton Rouge,30.26298,-91.09,都市,5,
シュリーブポート,Shreveport,32.3,-93.45,都市,5,
メーン州,Maine,44.5931,-069.4653,州,4,
メリーランド州,Maryland,39.2625,-077.0339,州,4,
ワシントン,Washington,38.54302,-77,大都市,2,
ボルティモア,Baltimore,39.18,-76.36598,大都市,4,
マサチューセッツ州,Massachusetts,42.3518,-072.0923,州,4,
ボストン,Boston,42.20298,-71.05002,大都市,3,
ウースター,Worcester,42.15302,-71.48,都市,5,
ミシガン州,Michigan,43.4828,-085.0443,州,4,
デトロイト,Detroit,42.223,-83.06299,大都市,2,
フリント,Flint,43.00302,-83.403,都市,5,
ランシング,Lansing,42.44002,-84.33302,都市,5,
グランド・ラピッズ,Grand Rapids,42.583,-85.41002,都市,5,
ミネソタ州,Minnesota,46.5815,-094.3140,州,4,
ミネアポリス,Minneapolis,44.57,-93.163,都市,2,
セントポール,St Paul,45,-92.49,都市,4,
ミシシッピ州,Mississippi,33.3707,-089.5348,州,4,
