地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ウクライナ(Ukraine)</TITLE>,,,,,,
キエフ,Kiev,50.25001,30.29298,巨大都市,3,
ハリコフ,Kharkov,49.59002,36.13,巨大都市,4,
ドニエプロペトロフスク,Dnepropetrovsk,48.27,35,巨大都市,4,
リヴォフ,Lvov,49.51,24,大都市,3,
クリヴォイログ,Krivoi Rog,47.4,33.3,大都市,4,
オデッサ,Odessa,46.28001,30.44,巨大都市,3,
ドネツク,Donetsk,48,37.48,巨大都市,3,
ザポロージエ,Zaporozhye,47.5,35.10001,大都市,4,
クリボイログ,Krivoy Rog,47.55001,33.21,大都市,4,
ニコラエフ,Nikolayev,46.5745,32,大都市,4,
チェルニゴフ,Chernigov,51.29298,31.17002,都市,4,
ポートビラ,Poltava,49.3515,34.34001,都市,5,
ビンニツァ,Vinnitsa,49.13,28.29,都市,5,
マケエフカ,Makeyevka,48.01,37.58001,都市,5,
ゴルロフカ,Gorlovka,48.17002,38.0215,都市,5,
ヘルソン,Kherson,46.38,32.3515,都市,5,
セヴァストポリ,Sevastopol,44.36,33.32,都市,4,
シンフェローポリ,Simferopol,44.57,34.06,都市,5,
