地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>イギリス(United Kingdom)</TITLE>,,,,,,
バーミンガム,Birmingham,52.283,-1.49599,巨大都市,4,
アバディーン,Aberdeen,57.1,-2.04,大都市,4,
グラスゴー,Glasgow,55.51,-4.15,大都市,2,
ヨーク,York,53.58001,-1.03299,大都市,5,
リバプール,Liverpool,53.253,-2.56301,大都市,5,
リーズ,Leeds,53.49,-1.33,都市,5,
マンチェスター,Manchester,53.3,-2.15,都市,4,
ブリストル,Bristol,51.27,-2.35298,都市,4,
エディンバラ,Edinburgh,55.56298,-3.11002,都市,5,
ベルファスト,Belfast,54.35,-5.55599,都市,4,
ノッティンガム,Nottingham,52.58001,-1.09,都市,5,
ロンドン,London,51.3,-0.1,巨大都市,1,
サウサンプトン,Southampton,50.553,-1.26002,都市,5,
スウォンジー,Swansea,51.38,-3.57302,都市,5,
ダンディー,Dundee,56.283,-2.583,都市,5,
ノリッジ,Norwich,52.373,1.16,都市,5,
オックスフォード,Oxford,51.47002,-1.17002,都市,5,
ポーツマス,Portsmouth,50.48,-1.05,小都市,4,
プリマス,Plymauth,50.223,-4.11301,大都市,4,
シェフィールド,Shefield,53.23298,-1.29002,大都市,4,
ケンブリッジ,Cambridge,52.1,0.1,都市,4,
ドーバー,Dover,51.1,1,都市,4,
カーディフ,Caediff,51.29,-3.11301,都市,5,
