地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ウズベキスタン(Uzbekistan)</TITLE>,,,,,,
タシケント,Tashkent,41.16001,69.14002,巨大都市,2,
サマルカンド,Samarkand,39.40001,66.50002,大都市,4,
ヌクス,Nukus,42.28001,59.36302,都市,4,
ブハラ,Bukhara,39.47449,64.24302,都市,4,
カルシー,Karshi,38.53,65.48,都市,4,
チルチク,Chirchik,41.28,69.34451,都市,5,
ウルゲンチ,Urgench,41.32298,60.37,都市,4,
ナボイ,Navoi,40.09302,65.18,都市,4,
アングレン,Angren,41.0045,70.11002,都市,5,
フェルガナ,Fergana,40.23,71.46001,都市,5,
ナマンガン,Namangan,40.59298,71.40149,都市,5,
アンジジャン,Andizhan,40.45302,72.21,都市,5,
コーカンド,Kokand,40.32298,70.56298,都市,5,
