地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ベネズエラ(Venezuela)</TITLE>,,,,,,
カラカス,Caracas,10.33,-66.583,巨大都市,2,
バルセロナ,Barcelona,10.073,-64.43001,巨大都市,5,
マラカイボ,Maracaibo,10.42,-71.38301,巨大都市,3,
マラカイ,Maracay,10.19,-67.32301,大都市,5,
バルキシメト,Barquisimeto,10.03302,-69.18,大都市,4,
バレンシア,Valencia,10.133,-67.59298,大都市,5,
シウダードグアヤナ,Ciudad Guayana,8.22001,-62.37001,大都市,4,
メリダ,Merida,8.373,-71.08298,都市,5,
サンクリストバル,San Cristobal,7.47002,-72.15598,都市,5,
シウダードボリバル,Ciudad Bolivar,8.05298,-63.35298,都市,5,
マトゥリン,Maturin,9.44298,-63.103,都市,5,
クマナ,Cumana,10.25001,-64.17002,都市,5,
カビマス,Cabimas,10.23,-71.27151,都市,5,
プント・フィフォ,Punto Fijo,11.403,-70.12,都市,5,
プエルト・ラ・クルス,Puerto La Cruz,10.12302,-64.37599,小都市,5,
