地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ベトナム(Vietnam)</TITLE>,,,,,,
ダナン,Da Nang,16.02301,108.113,都市,3,
ニャチャン,Nha Trang,12.14002,109.09,都市,5,
クイニョン,Qui Nhon,13.46,109.11,都市,4,
フエ,Hue,16.27,107.333,都市,5,
カント,Can Tho,10.013,105.443,都市,5,
ミト,My Tho,10.20002,106.2,都市,5,
カムラン,Cam Ranh,11.553,109.14,都市,5,
ブンタウ,Vung Tau,10.21302,107.06,都市,5,
ハイフォン,Haiphong,20.493,106.41,都市,5,
ホーチミン,Hochiminn,10.46,106.43,巨大都市,2,
ハノイ,Hanoi,21.01001,105.5,巨大都市,3,
ホンゲイ,Hon Gai,21.11,107.2,都市,5,
ナムディン,Nam Dinh,20.26514,106.1926,都市,5,
タイグエン,Thai Nguyen,21.33079,105.4928,都市,5,
ビン,Vinh,18.47287,105.3757,都市,4,
クアンガイ,Quang Ngai,15.12364,108.4228,都市,4,
ダラト,Dalat,11.58206,108.2047,都市,4,
ラクジャー,Rach Gia,9.57569,105.0904,都市,5,
