地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>国一覧(Nation List)</TITLE>,,,,,,
アフガニスタン,Afghanistan,33.49,65.1,国,3,260
アルバニア,Albania,41.49,20,国,4,523
アルジェリア,Algeria,29,1.19,国,2,776
アメリカ領サモア,American Samoa,-14,-170,国,5,1030
アンドラ,Andorra,42.3,1.3,国,5,1295
アンゴラ,Angola,-11.4,17.3,国,2,1549
南極,Antarctica,-80,80,国,1,2061
アンティグア・バーブーダ,Antigua & Barbuda,18.3,-60,国,3,2318
アルゼンチン,Argentina,-35.4,-62,国,2,2569
アルメニア,Armenia,40.4,45,国,4,2828
アルバ,Aruba,12.50,-69.50,国,5,3082
オーストラリア,Australia,-26,136,国,1,3362
オーストリア,Austria,47.49,14.3,国,4,3619
アゼルバイジャン,Azerbaijan,39.3,49,国,4,3843
バハマ,Bahamas,24.4,-77.1,国,3,4239
バーレーン,Bahrain,26.1,50.4,国,4,4490
バングラデシュ,Bangladesh,24.49,90.3,国,4,4757
バルバドス,Barbados,12.3,-59.4,国,3,5011
ベラルーシ,Belarus,54.1,28.4,国,4,5288
ベルギー,Belgium,50.4,3.3,国,4,5547
ベリーズ,Belize,17.29,-88.1,国,4,5801
ベナン,Benin,10.19,1.49,国,3,6054
バミューダ,Bermuda,32.30,-65,国,5,6289
ブータン,Bhutan,27.4,90,国,4,6554
ボリビア,Bolivia,-14.1,-65.1,国,3,6831
ボスニア・ヘルツェゴビナ,Bosnia & Herzegovina,44.3,18,国,4,7085
ボツワナ,Botswana,-21.1,24.3,国,2,7342
ブラジル,Brazil,-10,-51.4,国,1,7581
ブルネイ,Brunei,5.3,114.19,国,4,7843
ブルガリア,Bulgaria,42.3,24.3,国,4,8097
ブルキナファソ,Burkina Faso,13,-2.1,国,3,8354
ブルンジ,Burundi,-3.1,29.4,国,3,8612
カンボジア,Cambodia,12.4,105,国,3,8753
カメルーン,Cameroon,5.19,12.1,国,2,9006
カナダ,Canada,57,-107,国,1,9259
カナリア諸島,Canarias,29,-17,国,3,65535
カーボベルデ,Cape Verde,14.1,-22.3,国,3,9516
ケイマン諸島,CaymanIslands,19.30,-81,国,4,9794
中央アフリカ,Central African Rep.,6.3,19.49,国,3,10093
チャド,Chad,14,19.49,国,2,10348
チリ,Chile,-34.3,-71.4,国,3,10608
中国,China,37,107,国,1,10862
コロンビア,Colombia,3.4,-72.4,国,3,11079
コモロ,Comoros,-12.3,43.49,国,3,11334
コスタリカ,Costa Rica,10,-84,国,4,11845
コートジボワール,Cote d'Ivoire,8.4,-5,国,3,12100
クロアチア,Croatia,45.19,15.3,国,4,12353
キューバ,Cuba,22.4,-78,国,3,12598
キプロス,Cyprus,34.3,32.1,国,4,12853
チェコ,Czecho,49.3,14.49,国,4,13162
コンゴ民主共和国,Demo.Rep.of Congo,-2.4,20,国,3,11626
デンマーク,Denmark,56.3,10.3,国,4,13682
ジブチ,Djibouti,11.36,43.09,国,2,13903
ドミニカ,Dominica,16.19,-59.4,国,3,14197
ドミニカ共和国,Dominican Republic,19.1,-70.4,国,3,14454
エクアドル,Ecuador,-1.1,-80.4,国,3,14876
エジプト,Egypt,28.1,30.1,国,2,15133
エルサルバドル,El Salvador,13.3,-88.4,国,4,15393
赤道ギニア,Equatorial Guinea,1.4,10,国,3,15649
エリトリア,Eritrea,16.3,38,国,3,15904
エストニア,Estonia,58.1,25,国,4,16158
エチオピア,Ethiopia,7.4,40.1,国,2,16415
フォークランド諸島,Falkland Islands,-50.50,-58,国,4,16796
フィジー,Fiji,-17,179.3,国,2,17047
フィンランド,Finland,63.3,26.3,国,4,17305
フランス,France,46.3,2,国,3,17566
フランス領ギアナ,French Guiana,4.30,-53,国,5,17823
フランス領ポリネシア,French Polynesia,-18.50,-150,国,5,18080
ガボン,Gabon,-0.4,11.1,国,3,18221
ガンビア,Gambia,13.19,-15.4,国,3,18480
グルジア,Georgia,42.3,41.49,国,4,19007
ドイツ,Germany,51.19,10.49,国,3,19315
ガーナ,Ghana,7.3,-0.3,国,3,19495
ギリシャ,Greece,39.1,21.4,国,4,20023
グリーンランド,Greenland,75,-40,国,5,20286
グレナダ,Grenada,12.49,-64.3,国,3,20544
グアダルペ,Guadeloupe,16.07,-61.19,国,5,20794
グアム,Guam,13.15,144.5,国,2,21052
グアテマラ,Guatemala,15,-91.4,国,4,21307
ギニア,Guinea,10.4,-12.1,国,3,21555
ギニアビサウ,Guinea-Bissau,12,-15.4,国,3,21812
ガイアナ,Guyana,5.49,-59.1,国,3,22056
ハイチ,Haiti,17.49,-72.4,国,3,22411
ホンジュラス,Honduras,14.49,-86.1,国,4,22706
ハンガリー,Hungary,46.49,18.4,国,4,23188
アイスランド,Iceland,65.1,-18.1,国,3,23297
インド,India,20,78.1,国,3,23574
インドネシア,Indonesia,-3.1,124.3,国,3,23831
イラン,Iran,34.3,54,国,3,24085
イラク,Iraq,34.49,44,国,3,24340
アイルランド,Ireland,53.3,-8.1,国,4,24578
イスラエル,Israel,31.1,34.3,国,4,25106
イタリア,Italy,43.3,12,国,4,25363
ジャマイカ,Jamaica,17.1,-78.1,国,3,25680
日本,Japan,36,138,国,3,25987
ヨルダン,Jordan,30.49,35.49,国,4,26312
カザフスタン,Kazakhstan,48.3,59.4,国,3,26409
ケニア,Kenya,1.19,37,国,2,26691
